序号,时间,黏度,水活性,NAS等级,温度
517,2023-3-27 23:49,45.83,0.237,6,43.46
518,2023-3-28 0:04,45.41,0.357,6,46.89
519,2023-3-28 0:19,45.7,0.283,7,49.95
520,2023-3-28 0:34,45.91,0.336,7,49.48
521,2023-3-28 0:49,46.02,0.237,7,45.48
522,2023-3-28 1:04,45.73,0.265,6,46.02
523,2023-3-28 1:19,45.78,0.221,6,41.72
524,2023-3-28 1:34,45.42,0.367,6,44.01
525,2023-3-28 1:49,45.36,0.336,6,46.9
526,2023-3-28 2:04,45.8,0.306,7,49.33
527,2023-3-28 2:19,46.19,0.285,7,45.88
528,2023-3-28 2:34,46.2,0.239,7,50.77
529,2023-3-28 2:49,45.45,0.306,7,43.86
530,2023-3-28 3:04,46.09,0.305,7,46.06
531,2023-3-28 3:19,45.78,0.323,6,45.26
532,2023-3-28 3:34,45.22,0.279,6,46.92
533,2023-3-28 3:49,45.16,0.317,7,43.4
534,2023-3-28 4:04,45.49,0.216,7,41.03
535,2023-3-28 4:19,46.05,0.303,7,44.07
536,2023-3-28 4:34,45.51,0.396,7,49.01
537,2023-3-28 4:49,45.16,0.367,6,44.92
538,2023-3-28 5:04,45.29,0.35,7,42.26
539,2023-3-28 5:19,45.73,0.33,6,46.57
540,2023-3-28 5:34,45.52,0.272,7,47.06
541,2023-3-28 5:49,45.44,0.279,6,49.15
542,2023-3-28 6:04,45.47,0.312,6,43.77
543,2023-3-28 6:19,45.48,0.287,6,48.34
544,2023-3-28 6:34,45.12,0.351,6,44.03
545,2023-3-28 6:49,45.83,0.375,7,49.06
546,2023-3-28 7:04,46.14,0.299,6,49.73
547,2023-3-28 7:19,45.5,0.342,7,45.17
548,2023-3-28 7:34,45.32,0.335,7,47.67
549,2023-3-28 7:49,46.05,0.351,7,43.6
550,2023-3-28 8:04,46.11,0.312,6,50
551,2023-3-28 8:19,46.02,0.39,7,50.14
552,2023-3-28 8:34,45.42,0.215,7,50.54
553,2023-3-28 8:49,45.97,0.382,6,41.16
554,2023-3-28 9:04,45.11,0.324,7,46.33
555,2023-3-28 9:19,46.02,0.21,7,41.37
556,2023-3-28 9:34,45.18,0.39,7,41.03
557,2023-3-28 9:49,45.74,0.388,7,46.18
558,2023-3-28 10:04,45.7,0.303,6,49.96
559,2023-3-28 10:19,45.81,0.285,6,46.47
560,2023-3-28 10:34,45.41,0.315,6,43.44
561,2023-3-28 10:49,45.17,0.257,6,47.26
562,2023-3-28 11:04,45.87,0.336,7,44.98
563,2023-3-28 11:19,45.32,0.226,7,49.03
564,2023-3-28 11:34,45.88,0.355,7,49.18
565,2023-3-28 11:49,45.24,0.232,7,50.8
566,2023-3-28 12:04,45.56,0.27,7,41.8
567,2023-3-28 12:19,45.35,0.291,7,42.2
568,2023-3-28 12:34,45.57,0.38,7,48.36
569,2023-3-28 12:49,46.21,0.291,7,43.12
570,2023-3-28 13:04,45.8,0.354,6,41.89
571,2023-3-28 13:19,46.11,0.251,7,44.94
572,2023-3-28 13:34,45.6,0.395,6,50.03
573,2023-3-28 13:49,45.37,0.273,7,41.27
574,2023-3-28 14:04,45.37,0.33,7,48.13
575,2023-3-28 14:19,45.41,0.302,6,41.36
576,2023-3-28 14:34,46.14,0.3,6,46.82
577,2023-3-28 14:49,45.15,0.398,7,42.38
578,2023-3-28 15:04,45.37,0.34,6,49.89
579,2023-3-28 15:19,45.98,0.239,6,49.28
580,2023-3-28 15:34,45.53,0.279,6,50.47
581,2023-3-28 15:49,45.43,0.308,7,46.32
582,2023-3-28 16:04,45.57,0.255,6,46.14
583,2023-3-28 16:19,46.04,0.25,6,42.73
584,2023-3-28 16:34,46.19,0.235,7,48.22
585,2023-3-28 16:49,45.4,0.256,6,47.57
586,2023-3-28 17:04,45.44,0.338,7,43.59
587,2023-3-28 17:19,45.77,0.218,6,43.87
588,2023-3-28 17:34,45.62,0.356,7,43.27
589,2023-3-28 17:49,45.99,0.248,6,47.38
590,2023-3-28 18:04,45.55,0.38,7,46.92
591,2023-3-28 18:19,46.05,0.381,7,47.14
592,2023-3-28 18:34,45.75,0.293,6,41.14
593,2023-3-28 18:49,45.26,0.364,7,44.54
594,2023-3-28 19:04,45.93,0.379,6,43.8
595,2023-3-28 19:19,45.98,0.253,7,42.34
596,2023-3-28 19:34,45.94,0.302,7,43.15
597,2023-3-28 19:49,45.43,0.28,6,46.4
598,2023-3-28 20:04,45.81,0.227,7,48.06
599,2023-3-28 20:19,45.23,0.398,6,46.54
600,2023-3-28 20:34,45.83,0.371,6,49.95
601,2023-3-28 20:49,45.49,0.393,6,42.01
602,2023-3-28 21:04,45.49,0.267,6,46.31
603,2023-3-28 21:19,45.64,0.248,7,43.88
604,2023-3-28 21:34,45.42,0.354,7,48.29
605,2023-3-28 21:49,46.02,0.237,7,49.27
606,2023-3-28 22:04,45.61,0.27,7,43.55
607,2023-3-28 22:19,45.26,0.393,7,46.65
608,2023-3-28 22:34,45.81,0.393,6,46.46
609,2023-3-28 22:49,45.86,0.333,7,48.73
610,2023-3-28 23:04,45.34,0.392,6,50.33
611,2023-3-28 23:19,45.42,0.351,6,42.43
612,2023-3-28 23:34,45.36,0.255,6,41.28
613,2023-3-28 23:49,46.1,0.272,6,42.96
614,2023-3-29 0:04,45.8,0.37,6,49.04
615,2023-3-29 0:19,45.97,0.255,7,45.96
616,2023-3-29 0:34,45.88,0.249,6,41.79
617,2023-3-29 0:49,46.09,0.292,7,49.14
618,2023-3-29 1:04,46.21,0.282,6,41.86
619,2023-3-29 1:19,45.43,0.396,6,47.01
620,2023-3-29 1:34,45.5,0.364,6,45.12
621,2023-3-29 1:49,46.01,0.39,7,44.58
622,2023-3-29 2:04,45.17,0.382,6,45.39
623,2023-3-29 2:19,45.56,0.356,6,47.29
624,2023-3-29 2:34,45.14,0.345,7,45.64
625,2023-3-29 2:49,46.21,0.232,6,43.71
626,2023-3-29 3:04,45.95,0.338,7,43.69
627,2023-3-29 3:19,45.31,0.219,7,44.61
628,2023-3-29 3:34,45.34,0.344,6,49.51
629,2023-3-29 3:49,45.16,0.259,7,43.09
630,2023-3-29 4:04,45.59,0.327,6,43.92
631,2023-3-29 4:19,45.94,0.389,6,48.18
632,2023-3-29 4:34,45.65,0.347,6,45.56
633,2023-3-29 4:49,45.33,0.289,7,48.5
634,2023-3-29 5:04,46.03,0.372,6,46.53
635,2023-3-29 5:19,45.85,0.324,7,45.68
636,2023-3-29 5:34,45.35,0.338,7,45.83
637,2023-3-29 5:49,46.02,0.297,7,43.14
638,2023-3-29 6:04,45.99,0.387,7,50.63
639,2023-3-29 6:19,45.72,0.26,7,46.21
640,2023-3-29 6:34,46.19,0.362,7,44.04
641,2023-3-29 6:49,45.38,0.3,6,50.76
642,2023-3-29 7:04,45.79,0.288,7,43.24
643,2023-3-29 7:19,46.03,0.22,7,44.97
644,2023-3-29 7:34,45.2,0.227,7,47.13
645,2023-3-29 7:49,46.08,0.25,6,50.63
646,2023-3-29 8:04,45.39,0.211,6,48.94
647,2023-3-29 8:19,45.95,0.365,6,44.66
648,2023-3-29 8:34,45.27,0.279,6,47.67
649,2023-3-29 8:49,46.06,0.369,7,47.63
650,2023-3-29 9:04,46.19,0.216,7,42.07
651,2023-3-29 9:19,45.73,0.273,7,41.64
652,2023-3-29 9:34,45.15,0.336,7,45.9
653,2023-3-29 9:49,45.48,0.273,7,42.21
654,2023-3-29 10:04,45.64,0.382,6,42.52
655,2023-3-29 10:19,45.51,0.216,6,48.1
656,2023-3-29 10:34,46.2,0.251,7,47.24
657,2023-3-29 10:49,45.27,0.263,6,41.57
658,2023-3-29 11:04,45.43,0.307,6,49.88
659,2023-3-29 11:19,45.52,0.261,7,45.9
660,2023-3-29 11:34,46.06,0.394,6,46.38
661,2023-3-29 11:49,45.95,0.396,6,41.8
662,2023-3-29 12:04,45.22,0.247,7,42.52
663,2023-3-29 12:19,45.35,0.22,7,50.53
664,2023-3-29 12:34,45.69,0.275,7,50.37
665,2023-3-29 12:49,46.15,0.381,6,41.37
666,2023-3-29 13:04,45.48,0.267,7,49.7
667,2023-3-29 13:19,45.61,0.33,7,42.73
668,2023-3-29 13:34,46.2,0.332,7,42.01
669,2023-3-29 13:49,45.47,0.215,7,44
670,2023-3-29 14:04,45.44,0.297,6,48.49
671,2023-3-29 14:19,45.13,0.329,7,49.3
672,2023-3-29 14:34,45.95,0.267,7,46.67
673,2023-3-29 14:49,46.05,0.298,6,43.97
674,2023-3-29 15:04,45.15,0.232,7,42.43
675,2023-3-29 15:19,46.07,0.252,6,49.98
676,2023-3-29 15:34,45.96,0.277,6,42.3
677,2023-3-29 15:49,45.33,0.321,7,45.41
678,2023-3-29 16:04,45.44,0.378,7,50.42
679,2023-3-29 16:19,45.62,0.273,6,48.12
680,2023-3-29 16:34,45.56,0.35,7,49.89
681,2023-3-29 16:49,46.19,0.272,6,48.81
682,2023-3-29 17:04,45.73,0.3,7,50.65
683,2023-3-29 17:19,45.47,0.392,7,41.35
684,2023-3-29 17:34,46.09,0.353,7,42.85
685,2023-3-29 17:49,45.71,0.317,7,43.53
686,2023-3-29 18:04,46.02,0.334,7,46.81
687,2023-3-29 18:19,45.29,0.287,6,44.08
688,2023-3-29 18:34,45.37,0.351,6,50.84
689,2023-3-29 18:49,45.35,0.282,6,42.98
690,2023-3-29 19:04,45.94,0.34,7,45
691,2023-3-29 19:19,45.68,0.239,7,42.55
692,2023-3-29 19:34,46.05,0.382,6,47.24
693,2023-3-29 19:49,45.63,0.293,7,47.61
694,2023-3-29 20:04,45.5,0.363,7,46.36
695,2023-3-29 20:19,45.4,0.237,7,43.95
696,2023-3-29 20:34,45.23,0.271,6,50.88
697,2023-3-29 20:49,45.86,0.262,6,50.65
698,2023-3-29 21:04,45.63,0.256,7,50.33
699,2023-3-29 21:19,46.21,0.293,6,44.16
700,2023-3-29 21:34,45.35,0.321,6,48.16
701,2023-3-29 21:49,45.66,0.222,6,46.51
702,2023-3-29 22:04,46,0.336,7,43.27
703,2023-3-29 22:19,46.14,0.317,6,50.31
704,2023-3-29 22:34,46.14,0.289,7,50.1
705,2023-3-29 22:49,45.63,0.39,7,45.56
706,2023-3-29 23:04,45.15,0.23,7,50.1
707,2023-3-29 23:19,46.11,0.347,6,45.13
708,2023-3-29 23:34,45.14,0.344,7,43.57
709,2023-3-29 23:49,45.91,0.252,7,45.49
710,2023-3-30 0:04,45.29,0.259,6,44.1
711,2023-3-30 0:19,45.81,0.266,7,45.21
712,2023-3-30 0:34,45.97,0.257,7,46.51
713,2023-3-30 0:49,45.81,0.291,7,42.25
714,2023-3-30 1:04,45.64,0.371,6,44.78
715,2023-3-30 1:19,45.93,0.385,7,49.42
716,2023-3-30 1:34,45.49,0.304,6,43.29
717,2023-3-30 1:49,45.96,0.303,7,45.21
718,2023-3-30 2:04,45.71,0.278,7,41.89
719,2023-3-30 2:19,45.43,0.393,6,49.78
720,2023-3-30 2:34,45.83,0.338,7,41.19
721,2023-3-30 2:49,46.14,0.308,6,44.55
722,2023-3-30 3:04,45.66,0.292,6,48.79
723,2023-3-30 3:19,45.83,0.298,6,48.11
724,2023-3-30 3:34,45.97,0.247,6,44.14
725,2023-3-30 3:49,45.86,0.38,6,43.78
726,2023-3-30 4:04,45.92,0.242,6,44.48
727,2023-3-30 4:19,45.4,0.249,7,41.05
728,2023-3-30 4:34,45.9,0.24,6,42.78
729,2023-3-30 4:49,45.32,0.23,7,42.31
730,2023-3-30 5:04,45.96,0.331,7,44.81
731,2023-3-30 5:19,45.11,0.28,7,46.41
732,2023-3-30 5:34,45.8,0.267,6,41.47
733,2023-3-30 5:49,45.89,0.263,7,42.62
734,2023-3-30 6:04,46.07,0.395,6,43.53
735,2023-3-30 6:19,46.14,0.349,7,48.98
736,2023-3-30 6:34,45.44,0.248,6,49.46
737,2023-3-30 6:49,45.76,0.392,6,41.44
738,2023-3-30 7:04,45.76,0.324,6,50.75
739,2023-3-30 7:19,45.39,0.252,6,45.75
740,2023-3-30 7:34,45.92,0.323,7,47.55
741,2023-3-30 7:49,45.72,0.283,7,48.51
742,2023-3-30 8:04,45.91,0.256,7,43.2
743,2023-3-30 8:19,45.98,0.246,7,41.6
744,2023-3-30 8:34,45.45,0.332,7,50.29
745,2023-3-30 8:49,46.17,0.306,6,45.37
746,2023-3-30 9:04,45.89,0.273,7,49.48
747,2023-3-30 9:19,45.37,0.332,7,50.46
748,2023-3-30 9:34,46.17,0.236,6,50.41
749,2023-3-30 9:49,45.23,0.21,7,48.28
750,2023-3-30 10:04,45.58,0.276,7,41.54
751,2023-3-30 10:19,45.62,0.284,6,43.94
752,2023-3-30 10:34,46.09,0.384,6,48.46
753,2023-3-30 10:49,45.52,0.328,6,41.99
754,2023-3-30 11:04,45.9,0.25,6,41.27
755,2023-3-30 11:19,45.26,0.214,6,44.67
756,2023-3-30 11:34,45.33,0.226,7,46.66
757,2023-3-30 11:49,46.04,0.355,7,41.63
758,2023-3-30 12:04,45.77,0.236,6,43.81
759,2023-3-30 12:19,45.65,0.385,6,44.14
760,2023-3-30 12:34,45.63,0.337,6,51
761,2023-3-30 12:49,45.14,0.241,6,46.96
762,2023-3-30 13:04,46.14,0.323,6,44.99
763,2023-3-30 13:19,45.58,0.276,7,48.41
764,2023-3-30 13:34,45.78,0.258,6,43.53
765,2023-3-30 13:49,45.47,0.311,7,47.64
